"ID","Q41","Q42","Q43","Q44","Q45","Q46","Q47"
1283,0,0,0,1,1,0,0
1284,0,0,0,0,0,0,1
1286,0,0,1,0,0,0,0
1288,0,0,1,0,0,0,0
1291,0,0,0,1,0,0,0
1293,1,0,0,0,0,0,0
1294,0,0,0,1,1,0,0
1295,0,0,0,1,0,0,0
1296,0,0,0,0,1,0,0
1299,0,0,0,1,0,0,0
1300,0,0,0,1,1,0,0
1301,0,0,0,0,1,0,0
1302,0,1,1,0,0,0,0
1303,0,0,0,0,1,0,0
1305,0,0,1,0,0,0,0
1306,1,0,0,1,0,0,0
1308,0,0,1,0,0,0,0
1309,0,0,0,1,1,0,0
1310,0,0,0,1,1,0,0
1311,0,0,0,0,1,0,0
1313,0,0,1,0,0,0,0
1314,0,0,0,1,0,0,0
1315,0,0,1,0,0,0,0
1317,0,0,0,1,0,0,0
1319,0,0,1,0,0,0,0
1321,0,0,0,1,1,0,0
1322,0,0,0,1,1,0,0
1323,0,0,1,0,0,0,0
1324,0,0,1,0,0,0,0
1325,0,0,0,1,1,0,0
1326,0,0,0,1,0,0,0
1328,0,0,0,1,0,0,0
1329,1,1,0,0,0,0,0
1331,0,0,0,1,0,0,0
1334,0,0,0,1,0,0,0
1336,0,0,1,0,0,0,0
1337,0,0,1,0,0,0,0
1338,0,0,0,1,0,0,0
1339,0,0,0,1,1,0,0
1341,1,0,0,1,0,0,0
1342,0,0,0,1,0,0,0
1343,0,0,0,1,1,0,0
1346,0,0,0,1,1,0,0
1347,0,0,1,0,0,0,0
1348,0,0,0,1,0,0,0
1350,0,0,0,1,0,0,0
1353,0,0,0,1,0,0,0
1357,0,0,0,1,1,0,0
1359,0,0,0,1,1,0,0
1360,0,0,0,1,0,0,0
1361,0,0,1,0,0,0,0
1362,1,0,0,0,0,0,0
1364,0,1,0,0,1,0,0
1365,0,0,1,1,0,0,0
1366,0,1,0,0,0,0,0
1371,0,0,0,1,0,0,0
1372,0,0,0,1,0,0,0
1373,0,0,0,1,1,0,0
1374,0,0,0,1,0,0,0
1376,0,0,0,1,1,0,0
1377,0,0,0,1,0,0,0
1379,0,0,0,1,1,0,0
1380,0,0,1,0,0,0,0
1382,0,1,0,0,0,0,0
1383,0,0,1,0,0,0,0
1384,0,0,1,0,0,0,0
1385,0,0,1,0,0,0,0
1388,0,0,0,1,1,0,0
1389,0,0,1,0,0,0,0
1390,0,0,0,1,0,0,0
1394,0,0,0,1,0,0,0
1395,0,0,0,0,1,0,0
1397,0,0,1,0,0,0,0
1398,0,1,0,0,1,0,0
1399,0,0,1,0,0,0,0
1402,0,0,0,1,0,0,0
1403,0,0,0,1,0,0,0
1404,0,0,1,0,0,0,0
1405,0,0,1,0,0,0,0
1406,0,0,0,1,0,0,0
1407,0,0,0,1,0,0,0
1409,0,0,1,0,0,0,0
1410,0,0,1,0,0,0,0
1413,0,0,0,1,0,0,0
1416,0,0,0,1,0,0,0
1418,0,0,0,1,0,0,0
1420,0,0,0,1,0,0,0
1421,0,0,0,0,1,0,0
1425,0,0,1,0,0,0,0
1426,0,0,0,1,0,0,0
1428,0,0,0,1,0,0,0
1429,0,0,1,0,0,0,0
1430,0,0,0,1,0,0,0
1431,0,0,0,1,0,0,0
1436,0,0,0,1,0,0,0
1437,0,0,0,1,1,0,0
1438,0,0,0,1,1,0,0
1440,0,0,1,0,0,0,0
1441,0,0,0,1,0,0,0
1444,0,0,0,1,0,0,0
1446,0,0,0,1,1,0,0
1449,0,1,0,0,1,0,0
1450,1,0,0,0,0,0,0
1451,0,0,0,1,0,0,0
1452,0,0,0,1,0,0,0
1458,0,0,0,1,1,0,0
1459,0,0,0,1,0,0,0
1460,1,0,0,0,0,0,0
1461,0,0,0,1,0,0,0
1463,0,0,0,1,1,0,0
1464,0,0,0,1,0,0,0
1466,0,0,1,0,0,0,0
1468,0,0,0,1,1,0,0
1469,0,0,1,0,0,0,0
1470,0,0,0,1,1,0,0
1471,0,0,1,0,0,0,0
1472,1,0,0,1,1,0,0
1479,0,0,0,1,0,0,0
1481,0,0,0,1,1,0,0
1483,0,0,0,1,0,0,0
1484,0,0,0,1,1,0,0
1485,0,0,0,1,0,0,0
1486,0,0,1,0,0,0,0
1487,0,0,0,0,1,0,0
1491,1,0,1,0,0,0,0
1492,0,0,0,1,0,0,0
1493,1,0,0,1,0,0,0
1494,0,0,0,1,0,0,0
1497,0,0,0,1,0,0,0
1498,0,0,0,1,1,0,0
1499,0,0,0,0,1,0,0
1500,0,0,0,1,0,0,0
1501,0,0,1,1,0,0,0
1502,0,0,1,0,0,0,0
1504,0,0,0,1,1,0,0
1505,0,0,1,0,0,0,0
1506,0,0,1,0,0,0,0
1507,0,0,0,0,1,0,0
1508,1,0,0,0,0,0,0
1509,0,0,1,0,0,0,0
1510,0,0,0,1,0,0,0
1512,0,0,0,1,0,0,0
1513,0,0,0,1,1,0,0
1516,0,0,1,0,0,0,0
1517,0,1,0,1,0,0,0
1523,0,0,0,1,0,0,0
1526,0,0,1,0,0,0,0
1529,0,0,0,1,0,0,0
1530,0,0,1,0,0,0,0
1531,0,0,1,0,0,0,0
1533,0,0,0,0,1,0,0
1534,0,0,1,0,0,0,0
1535,0,0,1,0,0,0,0
1536,0,0,0,1,0,0,0
1537,0,1,1,0,0,0,0
1539,1,0,0,0,0,0,0
1540,0,0,0,1,0,0,0
1541,0,0,1,1,0,0,0
1543,0,0,1,0,0,0,0
1545,0,0,0,1,0,0,0
1547,0,0,1,0,0,0,0
1548,0,0,0,1,0,0,0
1549,0,0,0,0,1,0,0
1550,0,0,0,1,0,0,0
1551,0,0,0,1,0,0,0
1552,0,0,0,1,0,0,0
1553,0,0,0,1,0,0,0
1555,0,1,1,0,0,0,0
1556,0,0,1,0,0,0,0
1557,0,0,0,1,1,0,0
1558,0,1,0,0,1,0,0
1559,1,0,1,0,0,0,0
1561,0,0,0,1,0,0,0
1564,0,0,0,1,0,0,0
1565,0,0,0,1,0,0,0
1566,0,0,0,1,1,0,0
1567,0,1,0,1,1,0,0
1569,0,0,0,0,1,0,0
1572,0,0,0,1,0,0,0
1573,0,0,0,1,0,0,0
1574,0,0,1,0,0,0,0
1575,0,0,0,1,0,0,0
1576,0,0,0,1,1,0,0
1577,0,0,1,0,0,0,0
1578,0,0,0,1,1,0,0
1581,0,0,0,0,1,0,0
1582,0,0,0,1,1,0,0
1586,0,0,1,0,0,0,0
1587,0,0,0,1,0,0,0
1588,0,0,0,1,0,0,0
1590,0,0,0,1,0,0,0
1592,0,0,0,1,0,0,0
1593,1,0,0,0,0,0,0
1594,0,0,0,1,1,0,0
1596,0,0,0,1,0,0,0
